Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2022-02-13,46.32,46.32,41.92,42.89,3479530,-0.0674,0.0861,71.0,69.25,False,71.0
2022-02-20,42.8,46.74,41.87,46.23,2358482,0.0779,0.0892,70.0,70.0,False,71.0
2022-02-27,46.23,47.25,43.08,43.96,3352139,-0.0491,0.0774,72.0,71.0,True,70.0
2022-03-06,42.75,45.67,38.49,38.91,3778346,-0.1149,0.0823,68.0,70.25,True,72.0
2022-03-13,37.8,38.35,33.63,36.64,5747327,-0.0583,0.0814,71.0,70.25,False,68.0
2022-03-20,36.64,42.1,34.28,41.69,10731379,0.1378,0.1099,68.0,69.75,False,71.0
2022-03-27,43.4,44.7,40.39,41.18,5102878,-0.0122,0.1083,68.0,68.75,False,68.0
2022-04-03,40.58,51.41,40.58,46.55,6386461,0.1304,0.0996,66.0,68.25,False,68.0
2022-04-10,47.25,47.89,42.94,44.0,4117121,-0.0548,0.0984,71.0,68.25,False,66.0
2022-04-17,44.42,46.13,41.69,45.72,4555085,0.0391,0.0797,72.0,69.25,False,71.0
2022-04-24,44.47,45.81,43.45,44.0,4517003,-0.0376,0.0846,73.0,70.5,False,72.0
2022-05-01,43.91,46.23,41.5,45.39,3909524,0.0316,0.0477,82.0,74.5,False,73.0
2022-05-08,45.11,45.11,41.96,42.19,5447470,-0.0705,0.0534,94.0,80.25,False,82.0
2022-05-15,42.19,44.58,40.69,42.66,4026130,0.0111,0.0463,74.0,80.75,False,94.0
2022-05-22,42.66,44.26,40.41,41.54,2592600,-0.0263,0.0449,72.0,80.5,False,74.0
2022-05-29,40.69,43.41,40.37,41.26,3385292,-0.0067,0.0351,71.0,77.75,False,72.0
2022-06-05,41.4,46.09,41.4,44.21,2546720,0.0715,0.0423,73.0,72.5,False,71.0
2022-06-12,44.68,45.34,42.62,42.9,2747912,-0.0296,0.0473,72.0,72.0,False,73.0
2022-06-19,42.62,42.62,38.4,38.72,2817462,-0.0974,0.0696,73.0,72.25,False,72.0
2022-06-26,38.4,40.83,37.83,39.8,3902511,0.0279,0.0732,71.0,72.25,False,73.0
2022-07-03,38.96,43.51,38.91,41.21,3726807,0.0354,0.0616,71.0,71.75,False,71.0
2022-07-10,41.07,41.35,38.26,40.08,3892043,-0.0274,0.0614,71.0,71.5,False,71.0
2022-07-17,39.38,39.94,37.22,37.46,2291250,-0.0654,0.0478,73.0,71.5,False,71.0
2022-07-24,37.51,42.1,36.71,41.3,6692920,0.1025,0.0737,74.0,72.25,False,73.0
2022-07-31,41.44,44.4,39.94,42.48,4082247,0.0286,0.073,75.0,73.25,False,74.0
2022-08-07,43.51,43.51,39.85,42.19,4172475,-0.0068,0.0702,73.0,73.75,False,75.0
2022-08-14,41.12,42.76,40.37,42.38,1558517,0.0045,0.0491,79.0,75.25,False,73.0
2022-08-21,41.3,44.07,41.3,43.08,2039906,0.0165,0.0153,73.0,75.0,False,79.0
2022-08-28,43.13,43.13,39.19,40.08,2219633,-0.0696,0.0384,72.0,74.25,False,73.0
2022-09-04,39.85,41.26,38.02,40.27,2943808,0.0047,0.0395,70.0,73.5,False,72.0
2022-09-11,40.22,41.07,38.49,39.9,2572417,-0.0092,0.0383,72.0,71.75,False,70.0
2022-09-18,40.79,40.93,37.41,39.19,2234776,-0.0178,0.0324,73.0,71.75,False,72.0
2022-09-25,38.63,40.69,34.97,35.21,3657686,-0.1016,0.048,75.0,72.5,True,73.0
2022-10-02,34.88,35.72,32.86,34.13,2858331,-0.0307,0.0421,74.0,73.5,True,75.0
2022-10-09,34.13,38.58,32.91,37.46,1789192,0.0976,0.0825,74.0,74.0,False,74.0
2022-10-16,37.51,37.51,29.54,32.82,3356921,-0.1239,0.0998,70.0,73.25,False,74.0
2022-10-23,31.83,36.66,31.41,35.63,2805557,0.0856,0.1048,73.0,72.75,False,70.0
2022-10-30,35.63,37.13,32.49,33.29,2977338,-0.0657,0.1103,69.0,71.5,False,73.0
2022-11-06,34.93,38.72,33.15,36.47,2638286,0.0955,0.1097,69.0,70.25,False,69.0
2022-11-13,36.66,38.87,34.27,38.16,3796840,0.0463,0.0739,76.0,71.75,False,69.0
2022-11-20,38.16,41.02,37.69,37.83,2738165,-0.0086,0.0696,79.0,73.25,False,76.0
2022-11-27,36.66,39.29,36.61,37.79,1277015,-0.0011,0.0482,75.0,74.75,False,79.0
2022-12-04,37.13,41.73,36.19,40.08,3023550,0.0606,0.0343,79.0,77.25,False,75.0
2022-12-11,40.69,42.85,39.15,42.38,3007296,0.0574,0.037,82.0,78.75,False,79.0
2022-12-18,40.04,44.68,39.52,41.4,3249697,-0.0231,0.042,91.0,81.75,False,82.0
2022-12-25,41.4,43.04,39.29,39.62,1935102,-0.043,0.0538,96.0,87.0,False,91.0
2023-01-01,41.07,42.15,39.94,41.35,1173806,0.0437,0.0493,82.0,87.75,False,96.0
2023-01-08,41.91,45.01,40.46,42.71,5091530,0.0329,0.0422,81.0,87.5,False,82.0
2023-01-15,43.51,44.49,42.66,43.37,3739950,0.0155,0.0386,75.0,83.5,False,81.0
2023-01-22,43.41,44.82,41.3,44.07,5542127,0.0161,0.0137,69.0,76.75,False,75.0
2023-01-29,44.07,48.29,43.65,48.1,2687206,0.0914,0.0359,71.0,74.0,False,69.0
2023-02-05,46.41,49.79,46.09,48.8,4714157,0.0146,0.038,70.0,71.25,False,71.0
2023-02-12,48.66,52.46,47.63,50.02,8452432,0.025,0.0367,68.0,69.5,False,70.0
2023-02-19,49.93,50.59,47.82,49.7,2752874,-0.0064,0.0422,73.0,70.5,False,68.0
2023-02-26,48.76,50.63,48.29,49.13,2653180,-0.0115,0.0173,67.0,69.5,True,73.0
2023-03-05,48.24,50.82,48.01,49.41,3512340,0.0057,0.0162,68.0,69.0,True,67.0
2023-03-12,50.07,53.02,49.6,51.34,5959352,0.0391,0.0228,68.0,69.0,False,68.0
2023-03-19,52.13,52.98,47.82,51.76,6537600,0.0082,0.0211,73.0,69.0,False,68.0
2023-03-26,51.48,54.57,48.99,53.59,5891335,0.0354,0.0176,75.0,71.0,False,73.0
2023-04-02,53.59,54.15,51.24,52.18,7073133,-0.0263,0.0303,71.0,71.75,False,75.0
2023-04-09,52.79,52.79,50.68,51.57,3017601,-0.0117,0.0267,76.0,73.75,False,71.0
2023-04-16,50.26,55.13,49.88,54.85,7654497,0.0636,0.0416,75.0,74.25,False,76.0
2023-04-23,55.04,59.68,53.96,56.07,7232362,0.0222,0.04,73.0,73.75,False,75.0
2023-04-30,55.32,56.73,52.65,54.01,4558563,-0.0367,0.0435,78.0,75.5,False,73.0
2023-05-07,55.6,56.12,52.36,54.65,7185545,0.0118,0.0412,75.0,75.25,False,78.0
2023-05-14,53.98,54.98,50.5,53.69,3063665,-0.0176,0.027,73.0,74.75,False,75.0
2023-05-21,53.69,57.46,53.55,55.03,4490732,0.025,0.028,78.0,76.0,False,73.0
2023-05-28,55.17,56.7,47.36,49.98,4967413,-0.0918,0.0522,76.0,75.5,False,78.0
2023-06-04,50.84,52.17,48.45,50.93,4341915,0.019,0.0537,74.0,75.25,False,76.0
2023-06-11,51.88,53.98,50.6,53.03,2622614,0.0412,0.0608,75.0,75.75,False,74.0
2023-06-18,53.03,53.98,50.64,52.65,2946758,-0.0072,0.0582,76.0,75.25,False,75.0
2023-06-25,52.84,52.88,49.03,49.22,2826844,-0.0651,0.0459,80.0,76.25,False,76.0
2023-07-02,48.5,50.64,48.07,50.03,4429029,0.0165,0.0455,77.0,77.0,False,80.0
2023-07-09,50.6,51.22,48.36,49.55,5036605,-0.0096,0.0346,81.0,78.5,False,77.0
2023-07-16,50.79,57.65,50.41,57.08,7988581,0.152,0.0922,78.0,79.0,False,81.0
2023-07-23,56.7,57.36,52.93,55.6,7257319,-0.0259,0.0811,75.0,77.75,False,78.0
2023-07-30,55.6,57.17,53.46,53.65,7708291,-0.0351,0.0884,77.0,77.75,False,75.0
2023-08-06,53.84,54.74,50.17,52.41,7347578,-0.0231,0.0902,76.0,76.5,False,77.0
2023-08-13,52.74,54.31,50.45,53.36,4364281,0.0181,0.0236,72.0,75.0,False,76.0
2023-08-20,53.84,54.12,50.41,51.07,4491655,-0.0429,0.0272,73.0,74.5,False,72.0
2023-08-27,51.45,52.31,48.88,49.93,3329306,-0.0223,0.0256,74.0,73.75,False,73.0
2023-09-03,49.64,51.22,48.26,48.83,3299578,-0.022,0.0255,72.0,72.75,False,74.0
2023-09-10,48.83,50.31,46.12,46.4,3786828,-0.0498,0.0143,71.0,72.5,False,72.0
2023-09-17,46.4,48.88,45.26,47.64,6398749,0.0267,0.0318,78.0,73.75,False,71.0
2023-09-24,47.6,48.26,43.59,44.98,4713850,-0.0558,0.0376,78.0,74.75,False,78.0
2023-10-01,44.83,44.83,41.02,43.93,6077344,-0.0233,0.0376,77.0,76.0,False,78.0
2023-10-08,44.02,44.74,42.31,44.4,3040844,0.0107,0.0367,74.0,76.75,False,77.0
2023-10-15,44.98,45.45,39.31,42.78,7000142,-0.0365,0.028,73.0,75.5,False,74.0
2023-10-22,42.88,44.17,41.26,43.64,1893070,0.0201,0.027,68.0,73.0,False,73.0
2023-10-29,44.07,45.93,42.4,42.74,3317470,-0.0206,0.0265,73.0,72.0,False,68.0
2023-11-05,42.74,45.69,41.69,44.21,6600944,0.0344,0.0334,82.0,74.0,False,73.0
2023-11-12,44.59,45.02,42.55,43.74,1788876,-0.0106,0.0257,79.0,75.5,False,82.0
2023-11-19,43.26,43.55,38.26,40.02,5898159,-0.085,0.0492,86.0,80.0,False,79.0
2023-11-26,40.5,43.55,40.45,41.54,3057380,0.038,0.0572,85.0,83.0,False,86.0
2023-12-03,41.93,42.69,40.02,40.45,8647258,-0.0262,0.0507,87.0,84.25,False,85.0
2023-12-10,40.45,42.88,39.54,42.07,2719429,0.04,0.0597,89.0,86.75,False,87.0
2023-12-17,42.97,44.31,41.16,43.26,7603940,0.0283,0.0312,92.0,88.25,False,89.0
2023-12-24,43.45,44.98,41.16,41.74,4290705,-0.0351,0.0379,100.0,92.0,False,92.0
2023-12-31,41.74,43.36,40.35,42.55,2166889,0.0194,0.0333,86.0,91.75,False,100.0
